"Shared","IL6_low_only","IL6_high_only"
"g__Bilophila","g__Odoribacter","g__Prevotella"
"g__Desulfovibrio","g__Muribaculaceae","g__Anaerostipes"
"g__Clostridium_sensu_stricto_1","g__Romboutsia","g__CAG-56"
"g__Christensenellaceae_R-7_group","g__Collinsella",NA
"g__RF39","g__Holdemanella",NA
"g__Parabacteroides","g__Clostridia_UCG-014",NA
"g__Butyricimonas","g__Monoglobus",NA
"g__Alistipes","g__UCG-010",NA
"g__Prevotella_9","g__NK4A214_group",NA
"g__Bacteroides","g__uncultured",NA
"g__Veillonella","g__[Eubacterium]_hallii_group",NA
"g__Phascolarctobacterium","g__Lachnospiraceae_ND3007_group",NA
"g__Streptococcus","g__[Ruminococcus]_torques_group",NA
"g__Erysipelotrichaceae_UCG-003",NA,NA
"g__Clostridia_vadinBB60_group",NA,NA
"g__UCG-005",NA,NA
"g__Lachnospiraceae_UCG-010",NA,NA
"g__UCG-002",NA,NA
"g__Colidextribacter",NA,NA
"g__UCG-003",NA,NA
"g__[Eubacterium]_coprostanoligenes_group",NA,NA
"g__Ruminococcus",NA,NA
"g__[Eubacterium]_siraeum_group",NA,NA
"g__Subdoligranulum",NA,NA
"g__Faecalibacterium",NA,NA
"g__Butyricicoccus",NA,NA
"g__[Eubacterium]_eligens_group",NA,NA
"g__Lachnospira",NA,NA
"g__Coprococcus",NA,NA
"g__Roseburia",NA,NA
"g__Blautia",NA,NA
"g__Sutterella",NA,NA
"g__Escherichia-Shigella",NA,NA
"g__Lachnospiraceae_UCG-004",NA,NA
"g__Fusicatenibacter",NA,NA
"g__Dorea",NA,NA
