"Genus","Phylum","Family","stat","p.value","IL6_group"
"g__Sphaerochaeta","p__Spirochaetota","f__Spirochaetaceae",0.499687711458233,0.025,"Low IL-6"
"g__Fenollaria","p__Firmicutes","f__Family_XI",0.414109363588605,0.01,"High IL-6"
"g__Porphyromonas","p__Bacteroidota","f__Porphyromonadaceae",0.400629766484134,0.035,"High IL-6"
"g__Atopobium","p__Actinobacteriota","f__Atopobiaceae",0.343426637974402,0.01,"High IL-6"
"g__Lactobacillus","p__Firmicutes","f__Lactobacillaceae",0.335183166800367,0.05,"High IL-6"
"g__Helicobacter","p__Campylobacterota","f__Helicobacteraceae",0.321880734765382,0.01,"High IL-6"
NA,"p__Proteobacteria","f__Morganellaceae",0.265791698246074,0.045,"High IL-6"
"g__Hungatella","p__Firmicutes","f__Lachnospiraceae",0.264039020918116,0.045,"High IL-6"
"g__Intestinimonas","p__Firmicutes","f__Oscillospiraceae",0.257573302802897,0.045,"High IL-6"
"g__Peptoniphilus","p__Firmicutes","f__Family_XI",0.255131023136666,0.05,"High IL-6"
